,Player,PER 1st,PER 2nd,Win Shares 1st,Win Shares 2nd,Win Shares per 48 min 1st,Win Shares per 48 min 2nd,BPM 1st,BPM 2nd,VORP 1st,VORP 2nd,Win Shares(Col),Win Shares per 40 min(Col),Strength of Schedule(Col),Year Drafted
336,Dominique Jones,10.6,11.8,0.0,0.2,0.006999999999999999,0.044000000000000004,-3.4,-2.9,0.0,-0.1,6.2,0.204,7.21,2010
337,Quincy Pondexter,8.5,9.4,0.9,1.7,0.06,0.08199999999999999,-2.8,-1.9,-0.1,0.0,7.3,0.25,7.49,2010
339,Greivis Vasquez,9.4,14.2,0.5,2.3,0.03,0.064,-4.6,-1.6,-0.6,0.2,5.8,0.20800000000000002,7.95,2010
340,Daniel Orton,12.7,14.0,0.5,0.3,0.129,0.135,1.2,-1.3,0.2,0.0,1.7,0.135,6.82,2010
341,Lazar Hayward,10.8,3.1,0.3,-0.1,0.035,-0.04,-3.6,-8.0,-0.2,-0.2,5.4,0.198,8.23,2010
342,Kyrie Irving,21.4,21.4,4.1,5.3,0.125,0.125,3.3,3.3,2.1,2.8,2.4,0.32,8.31,2011
343,Derrick Williams,12.9,14.5,1.8,3.0,0.059000000000000004,0.076,-3.1,-3.7,-0.4,-0.8,7.9,0.27899999999999997,7.99,2011
344,Tristan Thompson,13.3,16.1,1.1,5.2,0.038,0.098,-4.2,-0.5,-0.8,1.0,5.5,0.2,7.96,2011
345,Brandon Knight,11.7,12.0,1.3,1.1,0.028999999999999998,0.022000000000000002,-1.9,-2.1,0.0,-0.1,5.3,0.157,8.91,2011
346,Kemba Walker,14.9,18.8,0.3,4.8,0.009000000000000001,0.08,-1.2,1.5,0.3,2.5,9.7,0.251,10.44,2011
347,Jimmer Fredette,10.8,14.6,0.3,1.1,0.012,0.052000000000000005,-4.4,-3.6,-0.7,-0.4,8.5,0.256,5.76,2011
348,Klay Thompson,14.9,12.7,1.7,4.3,0.05,0.07,-1.9,-0.1,0.1,1.4,5.8,0.198,6.81,2011
349,Alec Burks,14.0,11.5,1.5,1.0,0.076,0.044000000000000004,-2.5,-2.7,-0.1,-0.2,6.6,0.221,5.61,2011
350,Markieff Morris,12.1,12.6,1.5,1.7,0.059000000000000004,0.044000000000000004,-0.6,-1.0,0.4,0.5,6.0,0.257,7.62,2011
351,Marcus Morris,3.8,11.3,-0.2,1.8,-0.083,0.057999999999999996,-10.0,-1.9,-0.3,0.0,7.2,0.26899999999999996,7.62,2011
352,Kawhi Leonard,16.6,16.4,5.5,6.2,0.171,0.166,4.3,3.9,2.4,2.7,6.8,0.231,6.36,2011
353,Nikola Vucevic,14.3,17.8,1.8,5.7,0.109,0.106,-2.1,0.4,0.0,1.6,6.6,0.221,7.96,2011
354,Iman Shumpert,10.8,11.7,2.4,1.9,0.068,0.094,0.1,0.6,0.9,0.7,4.9,0.196,5.68,2011
355,Chris Singleton,8.3,7.8,1.5,0.5,0.052000000000000005,0.027999999999999997,-1.0,-3.3,0.4,-0.3,3.9,0.191,6.45,2011
356,Tobias Harris,14.2,16.0,0.9,2.4,0.087,0.08900000000000001,-3.5,-0.8,-0.2,0.4,4.4,0.177,8.73,2011
357,Nolan Smith,7.8,7.1,-0.3,-0.5,-0.028999999999999998,-0.08199999999999999,-5.4,-8.6,-0.5,-0.5,7.4,0.23399999999999999,8.31,2011
358,Kenneth Faried,21.9,18.5,4.6,7.8,0.212,0.16699999999999998,3.4,2.2,1.4,2.4,8.3,0.272,-3.13,2011
359,Reggie Jackson,9.2,14.2,0.1,2.5,0.011000000000000001,0.121,-3.9,-0.8,-0.2,0.3,5.6,0.193,7.31,2011
360,MarShon Brooks,12.9,13.5,0.8,1.3,0.022000000000000002,0.068,-2.5,-2.2,-0.2,0.0,5.9,0.203,6.44,2011
361,Jordan Hamilton,13.9,16.9,0.3,0.8,0.055,0.1,-2.4,-1.0,0.0,0.1,6.7,0.231,7.96,2011
362,Norris Cole,7.9,7.9,0.0,0.6,0.0,0.019,-5.9,-4.5,-1.2,-1.0,8.3,0.258,1.74,2011
363,Cory Joseph,6.9,13.5,0.0,0.9,0.001,0.113,-4.8,-0.5,-0.2,0.1,4.4,0.152,7.96,2011
364,Jimmy Butler,12.5,15.2,1.1,7.0,0.14400000000000002,0.158,-1.3,1.9,0.1,2.1,6.3,0.198,8.51,2011
365,Anthony Davis,21.7,26.5,6.1,10.4,0.159,0.212,2.3,4.5,2.0,3.9,9.9,0.31,7.93,2012
366,Michael Kidd-Gilchrist,14.0,12.0,2.1,3.1,0.051,0.098,-2.2,-0.9,-0.1,0.4,6.0,0.192,7.93,2012
367,Bradley Beal,13.6,14.3,3.0,4.0,0.08199999999999999,0.076,-0.1,-1.1,0.9,0.5,5.7,0.18,7.33,2012
368,Dion Waiters,13.7,14.0,0.9,1.6,0.026000000000000002,0.037000000000000005,-3.2,-2.1,-0.5,0.0,5.0,0.223,8.02,2012
369,Thomas Robinson,10.9,10.6,-0.1,-0.2,-0.002,-0.01,-4.5,-4.8,-0.7,-0.6,7.2,0.231,9.93,2012
370,Damian Lillard,16.4,18.6,5.8,9.6,0.08800000000000001,0.157,0.3,2.7,1.9,3.5,8.0,0.29100000000000004,-3.65,2012
371,Harrison Barnes,11.0,9.8,2.8,3.2,0.065,0.07,-2.4,-1.4,-0.2,0.3,5.0,0.18100000000000002,7.07,2012
372,Terrence Ross,10.4,12.0,0.9,4.2,0.034,0.094,-2.9,-0.1,-0.3,1.0,4.9,0.17800000000000002,5.27,2012
373,Andre Drummond,21.6,22.6,4.5,9.9,0.172,0.182,2.4,1.6,1.4,2.4,2.9,0.121,8.07,2012
374,Austin Rivers,5.9,11.6,-1.1,0.6,-0.038,0.023,-5.6,-3.9,-1.3,-0.7,3.5,0.124,8.4,2012
375,Meyers Leonard,12.1,9.4,2.4,0.6,0.09699999999999999,0.086,-2.6,-3.3,-0.2,-0.1,4.6,0.182,7.99,2012
376,Jeremy Lamb,11.2,13.4,0.2,3.3,0.057999999999999996,0.102,-7.1,-1.2,-0.2,0.3,5.2,0.165,8.07,2012
377,Kendall Marshall,7.8,12.6,-0.2,0.9,-0.012,0.028999999999999998,-7.3,-4.5,-0.9,-1.0,4.4,0.147,7.07,2012
378,John Henson,18.2,17.9,1.9,3.3,0.109,0.084,-2.9,0.3,-0.2,1.1,5.0,0.195,7.07,2012
379,Maurice Harkless,12.5,11.8,2.4,2.8,0.059000000000000004,0.068,-1.0,0.0,0.5,1.0,3.2,0.109,6.98,2012
380,Tyler Zeller,11.0,15.4,2.0,2.6,0.048,0.12,-2.3,-1.7,-0.1,0.1,7.1,0.265,7.07,2012
381,Terrence Jones,17.1,19.1,0.7,7.3,0.128,0.16899999999999998,2.1,2.2,0.3,2.2,5.8,0.209,7.93,2012
382,Andrew Nicholson,15.1,9.9,1.7,0.6,0.065,0.025,-4.4,-6.7,-0.8,-1.4,5.8,0.24,2.84,2012
383,Jared Sullinger,13.5,16.4,2.7,3.9,0.146,0.091,-0.6,-0.3,0.3,0.9,7.9,0.28,9.07,2012
384,John Jenkins,13.0,4.7,1.7,-0.1,0.091,-0.043,-2.8,-7.5,-0.2,-0.2,6.5,0.223,8.04,2012
385,Jared Cunningham,14.8,8.5,0.0,0.1,0.033,0.075,-6.3,-5.1,0.0,-0.1,5.0,0.162,3.38,2012
386,Tony Wroten,9.3,12.9,0.1,-0.9,0.017,-0.025,-4.2,-4.6,-0.2,-1.2,3.2,0.12,5.27,2012
387,Miles Plumlee,8.8,14.6,0.0,4.0,-0.015,0.098,-7.8,-1.5,-0.1,0.2,3.1,0.177,8.4,2012
389,Perry Jones,7.8,10.1,0.0,1.5,-0.003,0.094,-8.6,-2.5,-0.5,-0.1,4.2,0.16699999999999998,8.03,2012
390,Marquis Teague,6.0,3.8,-0.3,-0.5,-0.031,-0.059000000000000004,-7.3,-8.8,-0.5,-0.8,3.5,0.10800000000000001,7.93,2012
391,Festus Ezeli,9.3,16.2,1.5,1.7,0.066,0.159,-1.4,-1.8,0.2,0.0,2.1,0.14,8.04,2012
392,Anthony Bennett,6.9,11.4,-0.4,0.3,-0.027999999999999997,0.017,-7.3,-4.8,-0.9,-0.6,5.7,0.23800000000000002,5.71,2013
393,Victor Oladipo,13.6,15.9,1.3,3.5,0.026000000000000002,0.065,-0.8,0.0,0.8,1.3,6.7,0.264,8.38,2013
394,Otto Porter,6.0,11.6,0.0,2.7,-0.006,0.092,-6.8,-0.4,-0.4,0.6,7.1,0.26,7.59,2013
395,Cody Zeller,13.1,14.1,2.6,3.8,0.09,0.12300000000000001,-1.3,0.4,0.2,0.9,7.3,0.27399999999999997,8.38,2013
396,Alex Len,7.3,13.5,0.2,3.4,0.024,0.107,-5.9,-1.0,-0.4,0.4,5.0,0.2,4.66,2013
397,Nerlens Noel,15.0,16.2,4.0,3.0,0.083,0.07400000000000001,0.8,0.7,1.6,1.3,3.9,0.20600000000000002,5.78,2013
398,Ben McLemore,7.7,10.4,0.8,2.5,0.016,0.045,-3.2,-0.8,-0.6,0.8,6.5,0.217,7.54,2013
399,Kentavious Caldwell-Pope,9.4,11.2,1.8,2.8,0.055,0.052000000000000005,-2.1,-1.0,0.0,0.6,6.2,0.23,6.09,2013
400,Trey Burke,12.6,12.6,0.9,2.4,0.02,0.05,-2.5,-1.9,-0.3,0.1,8.6,0.249,10.05,2013
401,C.J. McCollum,9.0,13.1,0.2,1.8,0.019,0.08900000000000001,-4.1,-0.7,-0.3,0.3,2.4,0.261,-3.01,2013
402,Michael Carter-Williams,15.5,14.1,1.3,0.8,0.026000000000000002,0.017,-0.2,-0.7,1.1,0.7,6.1,0.174,8.57,2013
403,Steven Adams,11.2,14.1,2.9,4.1,0.114,0.111,0.3,0.4,0.7,1.1,3.5,0.185,5.63,2013
404,Kelly Olynyk,15.2,15.9,2.9,3.6,0.10099999999999999,0.12,0.5,2.1,0.9,1.5,6.7,0.315,4.18,2013
405,Shabazz Muhammad,13.1,19.9,0.3,2.0,0.053,0.11,-6.2,-1.8,-0.3,0.0,3.7,0.149,7.82,2013
406,Shane Larkin,8.3,10.9,-0.1,1.7,-0.01,0.045,-4.7,-2.4,-0.3,-0.2,6.5,0.19899999999999998,7.88,2013
407,Tony Snell,8.0,10.2,1.6,2.4,0.063,0.08199999999999999,-3.0,-1.5,-0.3,0.2,3.6,0.133,6.63,2013
408,Gorgui Dieng,16.5,17.2,2.2,4.9,0.129,0.10800000000000001,0.7,2.5,0.5,2.5,5.6,0.21899999999999997,9.13,2013
409,Mason Plumlee,19.0,18.0,4.7,4.8,0.17600000000000002,0.131,2.4,0.8,1.4,1.2,6.9,0.22,9.54,2013
410,Solomon Hill,7.6,10.2,0.4,3.5,0.08,0.07200000000000001,-2.3,-0.3,0.0,1.0,5.1,0.17600000000000002,7.47,2013
411,Tim Hardaway,12.7,12.1,3.1,0.8,0.08,0.023,-2.3,-4.1,-0.1,-0.9,4.5,0.136,10.05,2013
412,Reggie Bullock,6.7,6.2,0.2,0.1,0.019,0.019,-4.7,-4.0,-0.3,-0.2,5.7,0.207,8.01,2013
413,Andre Roberson,9.0,9.1,0.8,2.1,0.099,0.079,-0.3,0.3,0.2,0.7,4.3,0.166,7.95,2013
414,Archie Goodwin,10.3,11.2,0.2,0.2,0.018000000000000002,0.013999999999999999,-4.3,-4.5,-0.3,-0.3,3.1,0.11699999999999999,5.78,2013
415,Andrew Wiggins,13.9,16.5,2.1,4.1,0.034,0.069,-2.3,-2.1,-0.2,-0.1,4.9,0.17,11.4,2014
416,Jabari Parker,14.5,14.8,1.3,3.6,0.08800000000000001,0.07200000000000001,-1.2,-2.4,0.1,-0.2,5.5,0.205,8.48,2014
417,Joel Embiid,24.1,22.9,1.9,6.1,0.11699999999999999,0.154,3.1,2.7,1.0,2.3,3.4,0.213,11.4,2014
418,Aaron Gordon,11.4,17.0,1.0,5.4,0.06,0.139,-2.8,1.8,-0.2,1.8,5.4,0.183,9.04,2014
419,Marcus Smart,11.0,11.3,2.9,2.9,0.077,0.083,1.1,0.7,1.4,1.1,5.6,0.22,8.34,2014
420,Julius Randle,-7.5,13.9,-0.1,1.6,-0.276,0.035,-16.8,-3.6,-0.1,-0.9,5.9,0.191,9.89,2014
421,Nik Stauskas,7.5,9.2,0.5,0.5,0.021,0.012,-3.9,-3.6,-0.5,-0.7,6.2,0.193,9.65,2014
422,Noah Vonleh,13.2,8.6,0.5,1.2,0.085,0.047,-5.6,-4.0,-0.2,-0.6,3.6,0.182,6.64,2014
423,Elfrid Payton,13.8,13.9,2.3,2.2,0.044000000000000004,0.05,-0.7,-1.3,0.8,0.4,5.6,0.177,-0.28,2014
424,Doug McDermott,6.1,10.9,0.0,2.8,-0.005,0.073,-8.0,-3.1,-0.5,-0.5,7.7,0.261,7.17,2014
425,Zach LaVine,11.3,14.3,-0.7,2.6,-0.018000000000000002,0.054000000000000006,-4.5,-1.4,-1.2,0.4,2.5,0.111,7.62,2014
426,T.J. Warren,14.0,15.7,1.1,2.2,0.085,0.10099999999999999,-2.1,-1.2,0.0,0.2,6.5,0.209,7.44,2014
427,Adreian Payne,7.7,2.9,-0.5,0.0,-0.033,-0.039,-5.9,-13.9,-0.7,-0.1,4.3,0.2,9.38,2014
428,James Young,8.5,3.6,0.3,0.1,0.047,0.013000000000000001,-3.8,-4.6,-0.2,-0.1,4.7,0.145,9.89,2014
429,Tyler Ennis,7.3,12.0,-0.3,0.0,-0.04,-0.005,-6.7,-6.8,-0.5,-0.1,5.5,0.18,7.25,2014
430,Gary Harris,4.9,12.7,-0.7,4.0,-0.046,0.079,-4.3,0.2,-0.4,1.3,5.3,0.188,9.38,2014
431,Mitch McGary,16.6,7.4,1.3,0.0,0.127,-0.018000000000000002,-2.4,-7.7,-0.1,-0.1,1.0,0.20800000000000002,9.65,2014
432,Jordan Adams,12.8,17.3,0.4,0.0,0.073,0.015,-0.6,1.9,0.1,0.0,6.4,0.237,7.62,2014
434,Shabazz Napier,9.3,9.6,0.5,0.1,0.024,0.004,-2.6,-4.9,-0.2,-0.4,7.9,0.226,8.62,2014
435,P.J. Hairston,9.0,6.9,0.3,0.6,0.022000000000000002,0.021,-3.5,-4.2,-0.3,-0.7,4.6,0.228,8.01,2014
436,C.J. Wilcox,8.5,12.9,0.0,0.3,-0.024,0.08900000000000001,-6.0,-2.4,-0.1,0.0,4.4,0.159,6.45,2014
437,Josh Huestis,6.7,26.1,0.0,0.2,0.01,0.265,-7.4,5.7,-0.1,0.1,4.0,0.126,9.0,2014
438,Kyle Anderson,8.2,12.9,0.3,3.5,0.044000000000000004,0.133,-2.7,1.8,-0.1,1.2,5.6,0.18899999999999997,7.62,2014
439,Karl-Anthony Towns,22.5,25.9,8.3,12.7,0.151,0.201,2.8,4.9,3.2,5.3,6.4,0.311,8.67,2015
440,D'Angelo Russell,13.2,15.3,0.0,1.3,0.001,0.033,-1.8,-0.5,0.1,0.7,6.8,0.22899999999999998,7.37,2015
441,Jahlil Okafor,17.1,14.8,1.2,1.2,0.037000000000000005,0.05,-4.1,-3.3,-0.8,-0.4,6.7,0.235,9.87,2015
442,Willie Cauley-Stein,15.3,16.3,3.8,2.9,0.13,0.1,0.7,-1.2,1.0,0.3,6.0,0.239,8.67,2015
443,Stanley Johnson,8.7,7.2,0.6,0.4,0.018000000000000002,0.012,-2.6,-2.0,-0.2,0.0,5.7,0.212,7.41,2015
444,Frank Kaminsky,12.5,13.0,3.3,2.3,0.09300000000000001,0.055999999999999994,-1.2,-1.5,0.3,0.2,9.8,0.299,10.29,2015
445,Justise Winslow,8.4,8.2,2.5,-0.1,0.054000000000000006,-0.009000000000000001,-0.6,-2.8,0.8,-0.1,5.5,0.196,9.87,2015
446,Myles Turner,15.4,18.5,3.1,8.0,0.109,0.151,-2.3,2.4,-0.1,2.8,4.0,0.213,9.07,2015
447,Trey Lyles,11.6,9.9,2.3,0.8,0.079,0.031,-2.8,-3.0,-0.3,-0.3,4.4,0.213,8.67,2015
448,Devin Booker,11.9,14.6,1.9,2.0,0.043,0.035,-3.1,-2.3,-0.6,-0.2,4.5,0.21899999999999997,8.67,2015
449,Cameron Payne,12.9,5.5,1.4,-0.3,0.09300000000000001,-0.035,-1.3,-7.0,0.1,-0.6,7.3,0.258,-2.81,2015
450,Kelly Oubre,8.2,9.1,0.4,2.0,0.031,0.061,-5.8,-2.3,-0.7,-0.1,3.4,0.18,12.13,2015
451,Terry Rozier,5.0,10.9,-0.3,1.4,-0.047,0.054000000000000006,-6.6,-2.5,-0.4,-0.2,6.0,0.191,8.98,2015
452,Rashad Vaughn,4.2,7.8,-0.8,0.0,-0.036000000000000004,-0.005,-6.1,-4.9,-1.0,-0.3,2.5,0.132,3.38,2015
453,Sam Dekker,10.8,13.1,0.0,3.1,0.11599999999999999,0.10400000000000001,0.5,-1.0,0.0,0.3,7.0,0.225,10.29,2015
454,Jerian Grant,11.2,13.2,0.8,2.5,0.03,0.11900000000000001,-3.4,-0.3,-0.5,0.4,7.7,0.218,7.02,2015
455,Delon Wright,17.8,15.0,0.6,1.1,0.124,0.11699999999999999,-0.7,1.1,0.1,0.4,8.4,0.289,7.42,2015
456,Justin Anderson,12.3,13.9,1.1,1.9,0.083,0.07400000000000001,-1.2,-1.6,0.1,0.1,4.4,0.24100000000000002,7.81,2015
457,Bobby Portis,13.8,14.9,1.5,2.4,0.066,0.114,-3.3,-3.0,-0.4,-0.3,6.1,0.22699999999999998,6.79,2015
458,Rondae Hollis-Jefferson,14.2,13.7,1.2,2.6,0.094,0.07,1.2,-1.0,0.5,0.4,5.9,0.218,7.41,2015
459,Tyus Jones,11.2,13.8,0.3,1.5,0.027000000000000003,0.096,-3.7,-1.8,-0.3,0.0,6.5,0.196,9.87,2015
460,Jarell Martin,14.0,8.7,0.8,0.6,0.1,0.054000000000000006,-3.2,-6.4,-0.1,-0.6,5.1,0.174,5.63,2015
461,Larry Nance Jr.,13.4,15.7,2.2,3.5,0.083,0.11800000000000001,-1.4,1.9,0.2,1.4,5.4,0.19899999999999998,-0.04,2015
462,R.J. Hunter,7.7,-3.2,0.3,0.0,0.045,-0.08800000000000001,-3.5,-11.4,-0.1,0.0,6.9,0.215,-2.03,2015
463,Chris McCullough,12.2,15.2,0.3,0.1,0.043,0.07200000000000001,-1.0,-4.6,0.1,-0.1,1.4,0.126,7.68,2015
464,Kevon Looney,18.6,13.6,0.1,1.4,0.192,0.155,-9.5,0.4,0.0,0.3,4.8,0.172,8.27,2015
465,Brandon Ingram,8.5,13.8,-0.3,2.8,-0.006999999999999999,0.067,-3.8,-1.3,-1.1,0.3,4.9,0.157,10.59,2016
466,Jaylen Brown,10.3,13.5,1.5,4.3,0.053,0.098,-4.0,-0.2,-0.7,1.0,2.7,0.11699999999999999,7.87,2016
467,Kris Dunn,8.1,14.5,0.1,0.9,0.004,0.027000000000000003,-2.2,0.0,-0.1,0.8,4.5,0.166,8.46,2016
468,Buddy Hield,11.8,9.9,1.3,0.5,0.032,0.02,-2.7,-3.5,-0.4,-0.4,7.6,0.23199999999999998,11.14,2016
469,Jamal Murray,11.9,16.3,1.3,5.5,0.037000000000000005,0.105,-2.6,0.0,-0.3,1.2,6.1,0.19399999999999998,8.84,2016
470,Marquese Chriss,12.3,11.1,1.8,0.7,0.05,0.022000000000000002,-1.6,-2.1,0.2,0.0,3.1,0.14800000000000002,8.12,2016
471,Jakob Poeltl,12.2,17.0,1.6,5.3,0.125,0.172,-0.7,3.2,0.2,1.9,6.8,0.251,8.79,2016
472,Domantas Sabonis,6.9,17.4,0.8,4.7,0.022000000000000002,0.126,-4.8,-0.3,-1.2,0.8,7.5,0.26,4.23,2016
473,Taurean Prince,9.8,12.7,1.1,2.0,0.054000000000000006,0.039,-2.3,-0.8,-0.1,0.7,3.8,0.14800000000000002,9.76,2016
474,Denzel Valentine,7.3,12.1,0.6,2.5,0.031,0.057999999999999996,-2.7,-0.5,-0.2,0.8,7.3,0.284,6.94,2016
475,Wade Baldwin,6.5,16.2,-0.3,0.2,-0.040999999999999995,0.17300000000000001,-5.7,-0.7,-0.4,0.0,4.5,0.179,8.68,2016
476,Henry Ellenson,7.5,9.2,-0.2,-0.1,-0.071,-0.011000000000000001,-8.2,-8.0,-0.2,-0.4,4.0,0.14300000000000002,5.57,2016
477,Malik Beasley,13.7,9.0,0.2,0.3,0.057,0.027000000000000003,-3.9,-5.2,-0.1,-0.5,4.0,0.158,8.16,2016
478,Caris LeVert,12.3,14.3,1.8,2.3,0.07,0.06,-1.1,-0.4,0.3,0.7,2.8,0.243,7.92,2016
479,DeAndre Bembry,8.8,6.9,0.3,-0.4,0.038,-0.05,-4.3,-5.2,-0.2,-0.3,5.8,0.174,4.93,2016
480,Malachi Richardson,9.6,5.9,0.1,-0.1,0.027999999999999997,-0.017,-5.5,-6.5,-0.2,-0.4,3.3,0.10400000000000001,9.75,2016
481,Brice Johnson,17.2,18.2,0.0,0.2,-0.165,0.084,1.3,-2.8,0.0,0.0,7.6,0.272,10.69,2016
482,Pascal Siakam,11.5,14.6,1.6,4.5,0.08900000000000001,0.134,-1.1,2.1,0.2,1.7,7.8,0.265,-3.54,2016
483,Skal Labissiere,16.8,14.3,1.3,1.3,0.099,0.052000000000000005,-2.6,-2.7,-0.1,-0.2,2.0,0.142,8.84,2016
484,Dejounte Murray,9.6,15.1,0.0,3.1,0.004,0.08800000000000001,-4.8,1.2,-0.2,1.4,2.8,0.098,8.12,2016
485,Damian Jones,5.3,9.1,0.0,0.1,0.018000000000000002,0.075,-9.6,-4.8,-0.2,-0.1,3.8,0.175,8.68,2016
